name,minutes,slap,kick,ban,rename,admin_chat
95 | HakeRs,653,0,0,0,0,0
< gHo$T R1D3r=  >,378,2,0,1,0,1
Altair Ibn La Ahad,0,0,0,0,0,0
BaReS,1107,0,0,0,0,0
BaRoN,25,0,0,2,1,0
DS || DaWaWeeN,260,0,0,0,0,0
DS || Miladiii,380,0,0,0,0,0
DS || MuSTaFa,0,0,0,0,0,0
DS || fReak*,0,0,0,0,0,0
GuNsNGloRy | AmmaR,0,3,0,0,1,1
J 4 C K | R 3 4 C H 3 R,179,0,0,0,0,0
LeaNuX || MeMo,153,0,0,0,1,2
N00bie || (0-0),0,0,0,0,0,0
N00bie || MOUSE?,25,0,0,0,0,0
N00bie || WOLF,33,0,0,0,0,0
Noor,0,0,0,0,0,0
R()CK~KI||3R,952,1,2,0,0,0
US-B,461,5,1,1,0,4
anouar,0,0,0,0,0,0
chani,1756,4,1,0,0,3
s@bin@,260,0,0,0,0,0
what the,663,0,0,0,0,0
